1 46264 12147 12147 12147 1 46264 1469 1469 1469
2 46265 8665 8665 8665 2 46265 9551 9551 9551
3 46266 985 985 985 3 46266 9291 9291 9291
4 46267 8828 8828 8828 4 46267 1336 1336 1336
5 46268 64 64 64 5 46268 81 81 81
